manuscript_claim,value,producing_script,training_assembly,data_file
Combined shift cost over 7 years,0.081,src/07b_unseen_deployability.py,EXCEPTION: within-unseen refit,data/p1_covid_temporal_unseen.csv
Pre-2020 / 2020 / 2022 base rates,~0.39 / 0.427 / 0.426,src/06_covid_temporal.py,n/a (test-set rates),data/p1_covid_temporal.csv
Trained-substance calibration gap ceiling,+/-0.022,src/07_fairness_audit.py,JSH (canonical),data/p1_fairness_subgroups.csv
Trained-substance age gradient,0.728 (12-14) - 0.837 (65+),src/07_fairness_audit.py,JSH (canonical),data/p1_fairness_subgroups.csv
Unseen strata count,22,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Unseen AUROC span across strata,0.677-0.798,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Unseen AUROC sd across strata,0.032 (sample sd),src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Male / female AUROC (unseen),0.775 / 0.780,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Youngest / oldest band AUROC (unseen),0.707 (12-14) / 0.791 (65+),src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Smallest stratum (Alaska Native),n=260,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
21 of 22 strata calibration bound,0.044,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
65+ calibration gap,0.140,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
65+ band n and observed rate,"n=5,061, obs 0.165",src/07c_age65_anomaly.py,JSH (canonical),data/p1_age65_anomaly_diagnosis.csv
State-36 x Other_tranquilizers cell,"n=3,234, obs 0.067",src/07c_age65_anomaly.py,JSH (canonical),data/p1_age65_anomaly_diagnosis.csv
Same-state big-6 65+ observed rate,0.277,src/07c_age65_anomaly.py,JSH (canonical),data/p1_age65_anomaly_diagnosis.csv
65+ excluding that cell,under-predicts by 0.010,src/07c_age65_anomaly.py,JSH (canonical),data/p1_age65_anomaly_diagnosis.csv
"Eight strata n>20,000: calibration / AUROC",<=0.016 / 0.772-0.798,src/07b_unseen_deployability.py,JSH (canonical),data/p1_fairness_unseen.csv
Matched-budget TabPFN wins,"18 of 18, mean +0.018",src/08a_tabpfn_vs_gbt_compute.py,EXCEPTION: matched 10k/2k protocol,data/p1_tabpfn_vs_gbt.csv
Maximum-training-size TabPFN wins,"8 of 18, mean -0.0001",src/08b_prep_uncapped.py + src/08c_gpu_worker.py,EXCEPTION: maximum-training-size protocol,data/p1_tabpfn_uncapped.csv
CIs including zero / significant,15 of 18 / 3,src/08c_gpu_worker.py,EXCEPTION: maximum-training-size protocol,data/p1_tabpfn_uncapped.csv
Largest GBT fit time,346 s on 48 CPU cores,src/08b_prep_uncapped.py,EXCEPTION: maximum-training-size protocol,data/p1_tabpfn_uncapped.csv
"TabPFN 100,000-row pass","38.9 s (~39 s), 2.07 GiB VRAM",src/08d_gpu_scaling_probe.py,EXCEPTION: GPU scaling probe,data/gpu_probe.csv
CPU-vs-GPU speedup at 10k,60x (187.5 s vs 3.1 s),src/08d_gpu_scaling_probe.py,EXCEPTION: GPU scaling probe,data/gpu_probe.csv + data/p1_tabpfn_vs_gbt.csv
Shared ~0.78 AUROC ceiling,~0.78,src/08c_gpu_worker.py,EXCEPTION: maximum-training-size protocol,data/p1_tabpfn_uncapped.csv
XGBoost vs HistGBT agreement,within 0.002,src/10_gbt_implementation_check.py,"EXCEPTION: library check (1M Alcohol / 588,619 Cannabis)",data/p1_gbt_implementation_check.csv
Feature-expansion sensitivity,+0.005 (0.820 to 0.825),(2020 single-year check),"EXCEPTION: 27-feature sensitivity, 2020 held out",docs/FEATURE_EXPANSION.md
